valid_time,latitude,longitude,max_temperature,mean_temperature,#VALUE!
01-01-20,18.8,72.8,297.62848,296.2935,23.1435
01-01-20,19.05,72.8,297.8888,295.97708,22.82708
02-01-20,18.8,72.8,298.0075,296.7277,23.5777
02-01-20,19.05,72.8,298.3086,296.4684,23.3184
03-01-20,18.8,72.8,297.79413,296.30576,23.15576
03-01-20,19.05,72.8,298.2498,296.25482,23.10482
04-01-20,18.8,72.8,298.2703,296.1717,23.0217
04-01-20,19.05,72.8,298.59045,296.0474,22.8974
05-01-20,18.8,72.8,300.09167,297.3109,24.1609
05-01-20,19.05,72.8,300.2049,297.162,24.012
06-01-20,18.8,72.8,300.25485,298.3906,25.2406
06-01-20,19.05,72.8,300.53815,298.17838,25.02838
07-01-20,18.8,72.8,299.58658,298.29022,25.14022
07-01-20,19.05,72.8,299.7439,298.1397,24.9897
08-01-20,18.8,72.8,298.67712,297.56412,24.41412
08-01-20,19.05,72.8,298.88174,297.4734,24.3234
09-01-20,18.8,72.8,298.68347,296.59152,23.44152
09-01-20,19.05,72.8,299.0487,296.5358,23.3858
10-01-20,18.8,72.8,300.12128,297.60562,24.45562
10-01-20,19.05,72.8,300.66388,297.44223,24.29223
11-01-20,18.8,72.8,300.88547,298.57452,25.42452
11-01-20,19.05,72.8,300.9554,298.42422,25.27422
12-01-20,18.8,72.8,300.16058,298.41464,25.26464
12-01-20,19.05,72.8,300.6225,298.3857,25.2357
13-01-20,18.8,72.8,298.50534,297.6107,24.4607
13-01-20,19.05,72.8,298.72433,297.49783,24.34783
14-01-20,18.8,72.8,297.92468,296.77512,23.62512
14-01-20,19.05,72.8,298.3068,296.7197,23.5697
15-01-20,18.8,72.8,296.79724,295.84735,22.69735
15-01-20,19.05,72.8,297.00128,295.6954,22.5454
16-01-20,18.8,72.8,295.62106,294.86563,21.71563
16-01-20,19.05,72.8,295.7207,294.66626,21.51626
17-01-20,18.8,72.8,296.30807,294.12912,20.97912
17-01-20,19.05,72.8,296.6107,293.90506,20.75506
18-01-20,18.8,72.8,298.4314,295.45007,22.30007
18-01-20,19.05,72.8,299.04144,295.29733,22.14733
19-01-20,18.8,72.8,299.04483,296.79944,23.64944
19-01-20,19.05,72.8,299.59875,296.6623,23.5123
20-01-20,18.8,72.8,299.92844,297.6113,24.4613
20-01-20,19.05,72.8,300.8131,297.5325,24.3825
21-01-20,18.8,72.8,298.89948,297.4284,24.2784
21-01-20,19.05,72.8,299.45062,297.23593,24.08593
22-01-20,18.8,72.8,299.52335,297.8062,24.6562
22-01-20,19.05,72.8,300.187,297.7371,24.5871
23-01-20,18.8,72.8,300.7137,298.40186,25.25186
23-01-20,19.05,72.8,301.50354,298.44797,25.29797
24-01-20,18.8,72.8,300.66327,298.4845,25.3345
24-01-20,19.05,72.8,301.18103,298.50333,25.35333
25-01-20,18.8,72.8,300.2575,298.31876,25.16876
25-01-20,19.05,72.8,300.6858,298.2739,25.1239
26-01-20,18.8,72.8,299.40393,297.9387,24.7887
26-01-20,19.05,72.8,300.1739,297.9112,24.7612
