iter	Passed	Remaining
0	148	147915
1	157	78501
2	168	55996
3	179	44593
4	187	37240
5	191	31774
6	198	28195
7	204	25375
8	210	23143
9	216	21394
10	220	19792
11	224	18516
12	228	17315
13	231	16307
14	234	15386
15	236	14563
16	239	13836
17	241	13158
18	243	12552
19	245	12025
20	247	11530
21	249	11082
22	251	10691
23	253	10324
24	255	9976
25	257	9652
26	259	9364
27	261	9091
28	263	8828
29	265	8595
30	267	8375
31	269	8163
32	271	7962
33	274	7786
34	276	7619
35	278	7448
36	280	7288
37	282	7148
38	284	7004
39	286	6866
40	288	6738
41	290	6628
42	292	6506
43	294	6391
44	297	6313
45	299	6212
46	301	6117
47	304	6037
48	306	5949
49	308	5859
50	310	5781
51	312	5702
52	314	5622
53	316	5544
54	318	5478
55	321	5411
56	323	5348
57	325	5282
58	327	5216
59	328	5151
60	330	5089
61	332	5034
62	334	4976
63	336	4920
64	338	4867
65	340	4820
66	342	4773
67	345	4728
68	347	4683
69	349	4642
70	351	4598
71	353	4554
72	355	4516
73	358	4481
74	360	4440
75	362	4403
76	364	4370
77	366	4332
78	368	4296
79	370	4265
80	373	4233
81	375	4198
82	376	4164
83	379	4134
84	381	4105
85	384	4083
86	386	4056
87	388	4025
88	390	3996
89	392	3971
90	395	3945
91	396	3917
92	398	3891
93	401	3870
94	403	3845
95	405	3819
96	407	3796
97	410	3774
98	411	3748
99	413	3724
100	416	3704
101	418	3682
102	420	3658
103	422	3639
104	424	3617
105	426	3595
106	428	3573
107	430	3557
108	432	3536
109	434	3515
110	436	3495
111	438	3477
112	440	3457
113	442	3438
114	444	3420
115	446	3405
116	449	3389
117	451	3373
118	453	3358
119	455	3342
120	458	3327
121	460	3313
122	462	3299
123	464	3284
124	467	3269
125	469	3255
126	470	3235
127	472	3220
128	475	3207
129	477	3193
130	479	3179
131	481	3164
132	483	3152
133	486	3141
134	488	3127
135	490	3115
136	492	3103
137	495	3092
138	497	3079
139	499	3068
140	501	3057
141	503	3044
142	506	3035
143	508	3024
144	511	3013
145	513	3001
146	515	2991
147	517	2980
148	520	2970
149	522	2962
150	524	2951
151	527	2940
152	529	2931
153	531	2921
154	533	2911
155	536	2903
156	538	2893
157	541	2885
158	543	2876
159	546	2867
160	548	2857
161	550	2850
162	553	2843
163	556	2834
164	558	2825
165	560	2818
166	563	2808
167	565	2799
168	567	2791
169	569	2781
170	571	2772
171	574	2765
172	576	2757
173	578	2748
174	581	2740
175	583	2733
176	585	2723
177	587	2715
178	589	2706
179	592	2699
180	594	2691
181	597	2684
182	599	2676
183	601	2668
184	604	2661
185	606	2653
186	608	2645
187	611	2639
188	613	2632
189	615	2623
190	617	2615
191	620	2609
192	622	2601
193	624	2593
194	626	2585
195	628	2578
196	630	2570
197	632	2563
198	635	2557
199	637	2550
200	639	2543
201	642	2536
202	644	2530
203	646	2522
204	648	2515
205	650	2508
206	652	2501
207	654	2493
208	657	2487
209	659	2482
210	662	2475
211	664	2469
212	666	2462
213	668	2455
214	670	2448
215	673	2444
216	675	2438
217	678	2432
218	680	2426
219	682	2420
220	684	2413
221	687	2408
222	689	2401
223	691	2396
224	694	2390
225	696	2384
226	698	2378
227	701	2373
228	703	2367
229	705	2361
230	707	2355
231	709	2350
232	712	2344
233	714	2339
234	717	2334
235	719	2329
236	721	2323
237	724	2318
238	726	2311
239	727	2304
240	729	2298
241	732	2293
242	733	2286
243	735	2280
244	737	2273
