,valid_time,latitude,longitude,max_temperature,mean_temperature
0,2010-01-01,18.8,72.8,300.5583,298.5361
1,2010-01-01,19.05,72.8,301.07275,298.24356
2,2010-01-02,18.8,72.8,301.4362,299.36893
3,2010-01-02,19.05,72.8,301.7227,299.18018
4,2010-01-03,18.8,72.8,300.03796,298.97437
5,2010-01-03,19.05,72.8,300.37955,298.93576
6,2010-01-04,18.8,72.8,299.42694,298.0704
7,2010-01-04,19.05,72.8,299.954,297.95828
8,2010-01-05,18.8,72.8,299.22632,297.3743
9,2010-01-05,19.05,72.8,299.6833,297.27512
10,2010-01-06,18.8,72.8,300.7691,298.24588
11,2010-01-06,19.05,72.8,301.297,298.17007
12,2010-01-07,18.8,72.8,301.13263,298.73425
13,2010-01-07,19.05,72.8,301.14706,298.50394
14,2010-01-08,18.8,72.8,301.64523,298.88522
15,2010-01-08,19.05,72.8,302.0351,298.6572
16,2010-01-09,18.8,72.8,301.57828,298.737
17,2010-01-09,19.05,72.8,301.901,298.4668
18,2010-01-10,18.8,72.8,300.16235,298.4967
19,2010-01-10,19.05,72.8,300.682,298.2051
20,2010-01-11,18.8,72.8,299.69922,298.60574
21,2010-01-11,19.05,72.8,300.07745,298.3785
22,2010-01-12,18.8,72.8,299.14447,298.56998
23,2010-01-12,19.05,72.8,299.29532,298.4354
24,2010-01-13,18.8,72.8,298.95132,297.49576
25,2010-01-13,19.05,72.8,299.2911,297.26398
26,2010-01-14,18.8,72.8,300.069,297.07718
27,2010-01-14,19.05,72.8,300.33685,296.83923
28,2010-01-15,18.8,72.8,300.72153,298.52795
29,2010-01-15,19.05,72.8,301.08734,298.23856
30,2010-01-16,18.8,72.8,301.00262,299.03534
31,2010-01-16,19.05,72.8,301.40024,298.79355
32,2010-01-17,18.8,72.8,300.91858,299.06744
33,2010-01-17,19.05,72.8,301.23624,298.66098
34,2010-01-18,18.8,72.8,299.14032,297.49783
35,2010-01-18,19.05,72.8,299.62158,297.3083
36,2010-01-19,18.8,72.8,300.28198,298.0615
37,2010-01-19,19.05,72.8,300.98923,298.00888
38,2010-01-20,18.8,72.8,301.74194,298.68848
39,2010-01-20,19.05,72.8,302.39728,298.49597
40,2010-01-21,18.8,72.8,301.9008,298.82858
41,2010-01-21,19.05,72.8,302.32297,298.6726
42,2010-01-22,18.8,72.8,300.04437,298.21924
43,2010-01-22,19.05,72.8,300.76053,298.04987
44,2010-01-23,18.8,72.8,299.9676,297.73038
45,2010-01-23,19.05,72.8,300.7342,297.64447
46,2010-01-24,18.8,72.8,298.8516,297.22455
47,2010-01-24,19.05,72.8,299.51428,297.18176
48,2010-01-25,18.8,72.8,300.47998,298.17096
