Unnamed: 0,latitude,longitude,max_temperature,mean_temperature,normal_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave
0,18.8,72.8,300.5583,298.5361,299.62367266666666,0.0,0.0,101107.07,1,1,2010,0
1,19.05,72.8,301.07275,298.24356,299.62367266666666,0.0,0.0,101114.1,1,1,2010,0
2,18.8,72.8,301.4362,299.36893,299.76016999999996,3.81e-07,1.59e-08,101242.38,1,2,2010,0
3,19.05,72.8,301.7227,299.18018,299.76016999999996,0.0,0.0,101246.875,1,2,2010,0
4,18.8,72.8,300.03796,298.97437,299.7072833333333,1.91e-07,7.94e-09,101397.836,1,3,2010,0
5,19.05,72.8,300.37955,298.93576,299.7072833333333,0.0,0.0,101402.414,1,3,2010,0
6,18.8,72.8,299.42694,298.0704,299.6621226666667,0.0,0.0,101337.305,1,4,2010,0
7,19.05,72.8,299.954,297.95828,299.6621226666667,0.0,0.0,101345.336,1,4,2010,0
8,18.8,72.8,299.22632,297.3743,299.584522,0.0,0.0,101116.41,1,5,2010,0
9,19.05,72.8,299.6833,297.27512,299.584522,0.0,0.0,101116.98,1,5,2010,0
10,18.8,72.8,300.7691,298.24588,299.67268566666667,0.0,0.0,101017.19,1,6,2010,0
11,19.05,72.8,301.297,298.17007,299.67268566666667,0.0,0.0,101020.914,1,6,2010,0
12,18.8,72.8,301.13263,298.73425,299.623402,0.0,0.0,101086.35,1,7,2010,0
13,19.05,72.8,301.14706,298.50394,299.623402,0.0,0.0,101093.03,1,7,2010,0
14,18.8,72.8,301.64523,298.88522,299.5835353333333,0.0,0.0,101208.25,1,8,2010,0
15,19.05,72.8,302.0351,298.6572,299.5835353333333,0.0,0.0,101212.84,1,8,2010,0
16,18.8,72.8,301.57828,298.737,299.50661433333335,0.0,0.0,101193.625,1,9,2010,0
17,19.05,72.8,301.901,298.4668,299.50661433333335,0.0,0.0,101199.63,1,9,2010,0
18,18.8,72.8,300.16235,298.4967,299.7153006666667,0.0,0.0,101198.625,1,10,2010,0
19,19.05,72.8,300.682,298.2051,299.7153006666667,0.0,0.0,101202.94,1,10,2010,0
20,18.8,72.8,299.69922,298.60574,299.82951833333334,4.29e-06,1.79e-07,101229.4,1,11,2010,0
21,19.05,72.8,300.07745,298.3785,299.82951833333334,3.33e-10,1.39e-11,101226.76,1,11,2010,0
22,18.8,72.8,299.14447,298.56998,299.67414433333335,1.64e-05,1.66e-06,101401.93,1,12,2010,0
23,19.05,72.8,299.29532,298.4354,299.67414433333335,2.44e-05,2.33e-06,101394.25,1,12,2010,0
24,18.8,72.8,298.95132,297.49576,299.33117566666664,0.0,0.0,101602.26,1,13,2010,0
25,19.05,72.8,299.2911,297.26398,299.33117566666664,9.53e-08,3.97e-09,101609.25,1,13,2010,0
26,18.8,72.8,300.069,297.07718,299.3311923333333,0.0,0.0,101612.49,1,14,2010,0
27,19.05,72.8,300.33685,296.83923,299.3311923333333,0.0,0.0,101626.695,1,14,2010,0
28,18.8,72.8,300.72153,298.52795,299.3504526666667,0.0,0.0,101603.54,1,15,2010,0
29,19.05,72.8,301.08734,298.23856,299.3504526666667,0.0,0.0,101618.5,1,15,2010,0
30,18.8,72.8,301.00262,299.03534,299.13267533333334,0.0,0.0,101729.51,1,16,2010,0
31,19.05,72.8,301.40024,298.79355,299.13267533333334,0.0,0.0,101741.75,1,16,2010,0
32,18.8,72.8,300.91858,299.06744,298.8347826666667,0.0,0.0,101769.13,1,17,2010,0
33,19.05,72.8,301.23624,298.66098,298.8347826666667,0.0,0.0,101774.94,1,17,2010,0
34,18.8,72.8,299.14032,297.49783,298.85855300000003,0.0,0.0,101690.32,1,18,2010,0
35,19.05,72.8,299.62158,297.3083,298.85855300000003,0.0,0.0,101689.28,1,18,2010,0
36,18.8,72.8,300.28198,298.0615,299.16184200000004,0.0,0.0,101431.51,1,19,2010,0
37,19.05,72.8,300.98923,298.00888,299.16184200000004,0.0,0.0,101436.84,1,19,2010,0
38,18.8,72.8,301.74194,298.68848,299.4846596666667,0.0,0.0,101443.19,1,20,2010,0
39,19.05,72.8,302.39728,298.49597,299.4846596666667,0.0,0.0,101450.48,1,20,2010,0
40,18.8,72.8,301.9008,298.82858,299.38360133333333,0.0,0.0,101423.914,1,21,2010,0
41,19.05,72.8,302.32297,298.6726,299.38360133333333,0.0,0.0,101427.9,1,21,2010,0
42,18.8,72.8,300.04437,298.21924,298.96909899999997,0.0,0.0,101378.71,1,22,2010,0
43,19.05,72.8,300.76053,298.04987,298.96909899999997,0.0,0.0,101381.695,1,22,2010,0
44,18.8,72.8,299.9676,297.73038,299.06165266666665,0.0,0.0,101389.25,1,23,2010,0
45,19.05,72.8,300.7342,297.64447,299.06165266666665,0.0,0.0,101391.76,1,23,2010,0
46,18.8,72.8,298.8516,297.22455,299.08450400000004,0.0,0.0,101282.16,1,24,2010,0
47,19.05,72.8,299.51428,297.18176,299.08450400000004,0.0,0.0,101283.79,1,24,2010,0
48,18.8,72.8,300.47998,298.17096,299.30872266666665,0.0,0.0,101270.01,1,25,2010,0
49,19.05,72.8,301.20233,298.10617,299.30872266666665,0.0,0.0,101275.6,1,25,2010,0
50,18.8,72.8,301.67084,298.67215,299.33647333333334,0.0,0.0,101348.055,1,26,2010,0
51,19.05,72.8,301.94055,298.41992,299.33647333333334,0.0,0.0,101355.52,1,26,2010,0
52,18.8,72.8,301.05966,298.7236,299.48871066666663,0.0,0.0,101367.12,1,27,2010,0
53,19.05,72.8,301.25302,298.44925,299.48871066666663,0.0,0.0,101372.28,1,27,2010,0
54,18.8,72.8,300.5478,298.60318,299.325939,0.0,0.0,101404.914,1,28,2010,0
55,19.05,72.8,300.88318,298.52982,299.325939,0.0,0.0,101412.26,1,28,2010,0
56,18.8,72.8,300.33105,298.6956,299.2785246666666,0.0,0.0,101431.78,1,29,2010,0
57,19.05,72.8,300.72394,298.42874,299.2785246666666,0.0,0.0,101441.15,1,29,2010,0
58,18.8,72.8,300.898,298.73416,299.77380633333337,0.0,0.0,101411.94,1,30,2010,0
59,19.05,72.8,301.66107,298.5219,299.77380633333337,0.0,0.0,101422.06,1,30,2010,0
60,18.8,72.8,300.23325,298.599,299.7425416666667,0.0,0.0,101392.29,1,31,2010,0
61,19.05,72.8,301.0393,298.47043,299.7425416666667,0.0,0.0,101393.81,1,31,2010,0
62,18.8,72.8,299.83997,298.26263,299.97042366666665,0.0,0.0,101320.0,2,32,2010,0
63,19.05,72.8,300.42847,298.2487,299.97042366666665,0.0,0.0,101320.51,2,32,2010,0
64,18.8,72.8,299.35162,297.97598,300.0642823333334,0.0,0.0,101248.35,2,33,2010,0
65,19.05,72.8,299.94553,297.9542,300.0642823333334,0.0,0.0,101246.664,2,33,2010,0
66,18.8,72.8,298.97836,297.80206,299.939644,0.0,0.0,101257.37,2,34,2010,0
67,19.05,72.8,299.48163,297.74936,299.939644,0.0,0.0,101250.51,2,34,2010,0
68,18.8,72.8,298.7761,297.361,299.4709516666666,0.0,0.0,101327.195,2,35,2010,0
69,19.05,72.8,299.39456,297.37802,299.4709516666666,0.0,0.0,101325.055,2,35,2010,0
70,18.8,72.8,299.857,297.74594,299.47618,0.0,0.0,101365.87,2,36,2010,0
71,19.05,72.8,300.68768,297.8242,299.47618,0.0,0.0,101366.97,2,36,2010,0
72,18.8,72.8,300.04807,298.31024,299.2345753333333,0.0,0.0,101372.24,2,37,2010,0
73,19.05,72.8,300.84576,298.39114,299.2345753333333,0.0,0.0,101373.18,2,37,2010,0
74,18.8,72.8,301.22424,299.0164,299.07042399999995,0.0,0.0,101361.96,2,38,2010,0
75,19.05,72.8,301.76666,298.9988,299.07042399999995,0.0,0.0,101363.24,2,38,2010,0
76,18.8,72.8,299.4183,298.32425,298.823496,0.0,0.0,101240.12,2,39,2010,0
77,19.05,72.8,299.82306,298.33353,298.823496,0.0,0.0,101235.63,2,39,2010,0
78,18.8,72.8,299.32288,297.84814,299.56953433333337,0.00015068,1.78e-05,101150.69,2,40,2010,0
79,19.05,72.8,299.8036,297.87988,299.56953433333337,0.000189178,1.95e-05,101149.31,2,40,2010,0
80,18.8,72.8,298.6735,297.314,299.324292,2.86e-07,3.58e-08,101168.46,2,41,2010,0
81,19.05,72.8,299.18005,297.36743,299.324292,0.0,0.0,101167.77,2,41,2010,0
82,18.8,72.8,298.8355,297.5773,299.52202866666664,0.0,0.0,101295.12,2,42,2010,0
83,19.05,72.8,299.3194,297.61172,299.52202866666664,0.0,0.0,101289.6,2,42,2010,0
84,18.8,72.8,299.01846,297.3368,299.678859,0.0,0.0,101410.78,2,43,2010,0
85,19.05,72.8,299.6834,297.3497,299.678859,1.67e-10,6.94e-12,101408.74,2,43,2010,0
86,18.8,72.8,299.735,297.81128,299.8661936666667,0.0,0.0,101253.18,2,44,2010,0
87,19.05,72.8,300.34286,297.93655,299.8661936666667,0.0,0.0,101252.84,2,44,2010,0
88,18.8,72.8,299.6916,297.949,299.78951866666665,0.0,0.0,101137.85,2,45,2010,0
89,19.05,72.8,300.21432,297.85696,299.78951866666665,0.0,0.0,101136.81,2,45,2010,0
90,18.8,72.8,299.85364,298.14752,299.7227113333334,1.33e-06,1.35e-07,101085.57,2,46,2010,0
91,19.05,72.8,300.43427,298.06693,299.7227113333334,6.63e-05,5.23e-06,101089.625,2,46,2010,0
92,18.8,72.8,300.6471,298.72812,299.65713,0.0,0.0,101198.41,2,47,2010,0
