,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year
0,18.8,72.8,300.5583,298.5361,0.0,0.0,101107.07,1,1,2010
1,19.05,72.8,301.07275,298.24356,0.0,0.0,101114.1,1,1,2010
2,18.8,72.8,301.4362,299.36893,3.81e-07,1.59e-08,101242.38,1,2,2010
3,19.05,72.8,301.7227,299.18018,0.0,0.0,101246.875,1,2,2010
4,18.8,72.8,300.03796,298.97437,1.91e-07,7.94e-09,101397.836,1,3,2010
5,19.05,72.8,300.37955,298.93576,0.0,0.0,101402.414,1,3,2010
6,18.8,72.8,299.42694,298.0704,0.0,0.0,101337.305,1,4,2010
7,19.05,72.8,299.954,297.95828,0.0,0.0,101345.336,1,4,2010
8,18.8,72.8,299.22632,297.3743,0.0,0.0,101116.41,1,5,2010
9,19.05,72.8,299.6833,297.27512,0.0,0.0,101116.98,1,5,2010
10,18.8,72.8,300.7691,298.24588,0.0,0.0,101017.19,1,6,2010
11,19.05,72.8,301.297,298.17007,0.0,0.0,101020.914,1,6,2010
12,18.8,72.8,301.13263,298.73425,0.0,0.0,101086.35,1,7,2010
13,19.05,72.8,301.14706,298.50394,0.0,0.0,101093.03,1,7,2010
14,18.8,72.8,301.64523,298.88522,0.0,0.0,101208.25,1,8,2010
15,19.05,72.8,302.0351,298.6572,0.0,0.0,101212.84,1,8,2010
16,18.8,72.8,301.57828,298.737,0.0,0.0,101193.625,1,9,2010
17,19.05,72.8,301.901,298.4668,0.0,0.0,101199.63,1,9,2010
18,18.8,72.8,300.16235,298.4967,0.0,0.0,101198.625,1,10,2010
19,19.05,72.8,300.682,298.2051,0.0,0.0,101202.94,1,10,2010
20,18.8,72.8,299.69922,298.60574,4.29e-06,1.79e-07,101229.4,1,11,2010
21,19.05,72.8,300.07745,298.3785,3.33e-10,1.39e-11,101226.76,1,11,2010
22,18.8,72.8,299.14447,298.56998,1.64e-05,1.66e-06,101401.93,1,12,2010
23,19.05,72.8,299.29532,298.4354,2.44e-05,2.33e-06,101394.25,1,12,2010
24,18.8,72.8,298.95132,297.49576,0.0,0.0,101602.26,1,13,2010
25,19.05,72.8,299.2911,297.26398,9.53e-08,3.97e-09,101609.25,1,13,2010
