,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave_label
0,18.8,72.8,299.98834,297.88855,0.0,0.0,101286.914,1,1,2017,0
1,19.05,72.8,300.50903,297.68063,0.0,0.0,101289.34,1,1,2017,0
2,18.8,72.8,300.18155,297.97018,0.0,0.0,101376.47,1,2,2017,0
3,19.05,72.8,300.5971,297.71616,0.0,0.0,101381.94,1,2,2017,0
4,18.8,72.8,300.8405,298.17783,0.0,0.0,101383.6,1,3,2017,0
5,19.05,72.8,301.48172,297.87106,0.0,0.0,101392.07,1,3,2017,0
6,18.8,72.8,300.4218,297.86172,0.0,0.0,101343.48,1,4,2017,0
7,19.05,72.8,300.91095,297.51218,0.0,0.0,101347.88,1,4,2017,0
8,18.8,72.8,299.6968,297.62204,0.0,0.0,101287.94,1,5,2017,0
9,19.05,72.8,300.17682,297.37143,0.0,0.0,101291.65,1,5,2017,0
10,18.8,72.8,298.3443,296.6274,0.0,0.0,101262.68,1,6,2017,0
11,19.05,72.8,298.6353,296.32748,0.0,0.0,101263.62,1,6,2017,0
12,18.8,72.8,297.4111,295.82837,1.91e-07,2.38e-08,101159.34,1,7,2017,0
13,19.05,72.8,297.7423,295.63998,1.05e-06,1.15e-07,101157.57,1,7,2017,0
14,18.8,72.8,298.12735,296.46887,1e-05,6.6e-07,101067.59,1,8,2017,0
15,19.05,72.8,298.42325,296.29803,3.82e-07,3.18e-08,101066.5,1,8,2017,0
16,18.8,72.8,297.89844,296.53378,0.0,0.0,101141.086,1,9,2017,0
17,19.05,72.8,298.27878,296.5177,1.91e-07,7.94e-09,101140.375,1,9,2017,0
18,18.8,72.8,298.36176,296.32626,0.0,0.0,101277.4,1,10,2017,0
19,19.05,72.8,298.66168,296.11197,0.0,0.0,101284.875,1,10,2017,0
20,18.8,72.8,298.69186,295.9915,0.0,0.0,101309.52,1,11,2017,0
21,19.05,72.8,298.92236,295.65045,0.0,0.0,101320.48,1,11,2017,0
22,18.8,72.8,298.29248,295.78513,0.0,0.0,101180.76,1,12,2017,0
23,19.05,72.8,298.6238,295.36084,0.0,0.0,101188.18,1,12,2017,0
24,18.8,72.8,298.09186,296.20688,0.0,0.0,101122.15,1,13,2017,0
25,19.05,72.8,298.5301,295.8434,0.0,0.0,101123.125,1,13,2017,0
26,18.8,72.8,298.5038,296.86465,0.0,0.0,101181.43,1,14,2017,0
27,19.05,72.8,299.00128,296.60654,0.0,0.0,101181.22,1,14,2017,0
28,18.8,72.8,298.89578,297.189,0.0,0.0,101406.875,1,15,2017,0
29,19.05,72.8,299.5952,297.06094,0.0,0.0,101407.44,1,15,2017,0
30,18.8,72.8,298.68347,297.15384,0.0,0.0,101470.04,1,16,2017,0
31,19.05,72.8,299.12143,296.96146,0.0,0.0,101471.47,1,16,2017,0
32,18.8,72.8,298.5478,296.8942,0.0,0.0,101419.82,1,17,2017,0
33,19.05,72.8,299.07666,296.6837,0.0,0.0,101424.48,1,17,2017,0
34,18.8,72.8,298.71283,296.868,0.0,0.0,101443.625,1,18,2017,0
35,19.05,72.8,299.32654,296.65308,0.0,0.0,101452.02,1,18,2017,0
36,18.8,72.8,299.99387,297.6843,0.0,0.0,101469.21,1,19,2017,0
37,19.05,72.8,300.16473,297.49545,0.0,0.0,101475.77,1,19,2017,0
38,18.8,72.8,300.00534,297.80362,0.0,0.0,101476.414,1,20,2017,0
39,19.05,72.8,300.491,297.60373,0.0,0.0,101482.25,1,20,2017,0
40,18.8,72.8,300.18863,297.80185,0.0,0.0,101482.0,1,21,2017,0
41,19.05,72.8,300.5647,297.6315,0.0,0.0,101490.59,1,21,2017,0
42,18.8,72.8,300.45364,298.39322,0.0,0.0,101567.43,1,22,2017,0
43,19.05,72.8,300.82462,298.1835,0.0,0.0,101574.805,1,22,2017,0
44,18.8,72.8,300.9779,298.6886,0.0,0.0,101501.73,1,23,2017,0
45,19.05,72.8,301.6275,298.5391,0.0,0.0,101507.94,1,23,2017,0
46,18.8,72.8,301.81168,299.20398,0.0,0.0,101410.51,1,24,2017,0
47,19.05,72.8,302.26892,299.058,0.0,0.0,101417.29,1,24,2017,0
48,18.8,72.8,301.94604,298.99023,0.0,0.0,101446.82,1,25,2017,0
49,19.05,72.8,302.58633,299.00912,0.0,0.0,101453.38,1,25,2017,0
50,18.8,72.8,299.7966,298.34232,0.0,0.0,101427.164,1,26,2017,0
51,19.05,72.8,300.14948,298.34286,0.0,0.0,101431.43,1,26,2017,0
52,18.8,72.8,299.42764,297.3521,0.0,0.0,101431.875,1,27,2017,0
53,19.05,72.8,299.88123,297.23923,0.0,0.0,101444.51,1,27,2017,0
54,18.8,72.8,301.2254,298.2122,0.0,0.0,101344.1,1,28,2017,0
55,19.05,72.8,301.42303,298.02283,0.0,0.0,101358.54,1,28,2017,0
56,18.8,72.8,301.9452,298.6107,0.0,0.0,101346.53,1,29,2017,0
57,19.05,72.8,302.86536,298.42017,0.0,0.0,101358.27,1,29,2017,0
58,18.8,72.8,299.81207,298.2988,0.0,0.0,101308.305,1,30,2017,0
59,19.05,72.8,300.50793,298.25275,0.0,0.0,101312.41,1,30,2017,0
60,18.8,72.8,299.6339,298.16586,0.0,0.0,101258.74,1,31,2017,0
61,19.05,72.8,300.45502,298.15887,0.0,0.0,101261.13,1,31,2017,0
62,18.8,72.8,300.1937,298.01404,0.0,0.0,101245.73,2,32,2017,0
63,19.05,72.8,300.8345,297.94205,0.0,0.0,101249.69,2,32,2017,0
64,18.8,72.8,300.2707,298.18585,0.0,0.0,101338.625,2,33,2017,0
65,19.05,72.8,301.04327,298.14673,0.0,0.0,101338.78,2,33,2017,0
66,18.8,72.8,299.31277,297.95892,0.0,0.0,101428.59,2,34,2017,0
67,19.05,72.8,300.02606,298.10382,0.0,0.0,101423.52,2,34,2017,0
68,18.8,72.8,298.45123,297.2072,0.0,0.0,101359.71,2,35,2017,0
69,19.05,72.8,299.00024,297.16733,0.0,0.0,101360.09,2,35,2017,0
70,18.8,72.8,297.74365,296.52243,5.12e-05,4.27e-06,101390.4,2,36,2017,0
