valid_time,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp
2021-01-01,18.8,72.8,300.456,298.66147,1.4300904e-06,1.0725677e-07,101148.02
2021-01-01,19.05,72.8,300.81647,298.3456,5.7256386e-07,2.3933204e-08,101149.62
2021-01-02,18.8,72.8,299.7232,298.4026,2.3072076e-05,1.2195451e-06,101228.52
2021-01-02,19.05,72.8,300.0384,298.26297,2.0184045e-05,8.813906e-07,101229.26
2021-01-03,18.8,72.8,299.1929,297.7191,3.28967e-05,2.5867541e-06,101083.52
2021-01-03,19.05,72.8,299.52826,297.64035,5.693367e-05,3.929754e-06,101085.03
2021-01-04,18.8,72.8,298.77484,297.4315,0.00016686667,1.059236e-05,101067.836
2021-01-04,19.05,72.8,299.06863,297.22733,0.00033804748,2.1892856e-05,101069.78
2021-01-05,18.8,72.8,298.6481,297.3995,5.720358e-07,4.7669534e-08,101178.445
2021-01-05,19.05,72.8,299.14517,297.33853,2.669859e-06,1.1521566e-07,101183.445
2021-01-06,18.8,72.8,299.17773,297.6248,4.357085e-05,1.0572068e-05,101130.65
2021-01-06,19.05,72.8,299.6186,297.50485,8.3442705e-05,8.4517205e-06,101140.15
2021-01-07,18.8,72.8,299.4627,298.039,0.0001541093,2.3641745e-05,100936.71
2021-01-07,19.05,72.8,299.9542,297.93106,0.00016344254,2.1693484e-05,100937.77
2021-01-08,18.8,72.8,299.91852,298.5288,5.8925274e-05,1.486605e-05,100866.72
2021-01-08,19.05,72.8,300.15857,298.33762,0.0001843245,3.790099e-05,100874.125
2021-01-09,18.8,72.8,300.16205,298.68872,6.407734e-05,1.2658428e-05,100940.445
2021-01-09,19.05,72.8,300.8717,298.67276,9.157708e-05,1.19927645e-05,100945.38
2021-01-10,18.8,72.8,300.39886,299.21072,8.679055e-05,5.697881e-06,101009.76
2021-01-10,19.05,72.8,300.91086,299.26886,5.0925315e-05,3.528142e-06,101009.79
2021-01-11,18.8,72.8,302.22403,299.83618,0.0,0.0,101103.04
2021-01-11,19.05,72.8,303.13016,299.86572,0.0,0.0,101105.02
2021-01-12,18.8,72.8,301.7756,300.01028,0.0,0.0,101168.68
2021-01-12,19.05,72.8,302.21442,299.98227,0.0,0.0,101172.93
2021-01-13,18.8,72.8,301.55377,299.8336,0.0,0.0,101130.91
2021-01-13,19.05,72.8,301.81027,299.6795,0.0,0.0,101137.125
2021-01-14,18.8,72.8,300.89142,298.9245,0.0,0.0,101095.23
2021-01-14,19.05,72.8,301.26248,298.61563,0.0,0.0,101099.38
2021-01-15,18.8,72.8,299.21326,298.12943,0.0,0.0,101043.59
2021-01-15,19.05,72.8,299.55005,297.85895,0.0,0.0,101043.15
2021-01-16,18.8,72.8,299.29044,297.65628,0.0,0.0,100962.31
2021-01-16,19.05,72.8,299.60406,297.39706,0.0,0.0,100962.26
2021-01-17,18.8,72.8,299.0876,297.99374,0.0,0.0,100997.625
2021-01-17,19.05,72.8,299.63348,297.7963,9.5316864e-08,3.971536e-09,100997.305
2021-01-18,18.8,72.8,299.73004,298.44434,0.0,0.0,101155.9
2021-01-18,19.05,72.8,300.24976,298.2174,0.0,0.0,101158.4
2021-01-19,18.8,72.8,300.24316,298.70538,0.0,0.0,101166.23
2021-01-19,19.05,72.8,300.9873,298.60324,0.0,0.0,101166.46
2021-01-20,18.8,72.8,300.3727,298.6401,0.0,0.0,101258.51
2021-01-20,19.05,72.8,300.86743,298.4714,0.0,0.0,101261.75
2021-01-21,18.8,72.8,299.3311,297.5624,0.0,0.0,101264.26
2021-01-21,19.05,72.8,299.91452,297.30313,0.0,0.0,101264.38
2021-01-22,18.8,72.8,299.81525,297.66602,0.0,0.0,101186.74
2021-01-22,19.05,72.8,300.50732,297.64386,0.0,0.0,101187.85
2021-01-23,18.8,72.8,300.15768,298.26608,0.0,0.0,101179.66
2021-01-23,19.05,72.8,300.74323,298.15115,0.0,0.0,101181.51
2021-01-24,18.8,72.8,300.10266,298.07346,0.0,0.0,101282.25
2021-01-24,19.05,72.8,300.70013,297.9049,0.0,0.0,101285.48
2021-01-25,18.8,72.8,299.63858,297.4104,0.0,0.0,101353.79
2021-01-25,19.05,72.8,300.1698,297.14468,0.0,0.0,101358.43
2021-01-26,18.8,72.8,298.70477,296.72232,0.0,0.0,101315.81
2021-01-26,19.05,72.8,299.1797,296.45132,0.0,0.0,101318.51
2021-01-27,18.8,72.8,298.5285,296.5458,0.0,0.0,101263.0
2021-01-27,19.05,72.8,299.2612,296.37927,0.0,0.0,101263.68
2021-01-28,18.8,72.8,298.48474,296.60892,0.0,0.0,101295.35
2021-01-28,19.05,72.8,299.06573,296.39706,0.0,0.0,101296.37
2021-01-29,18.8,72.8,299.11618,296.84055,0.0,0.0,101350.94
2021-01-29,19.05,72.8,299.88092,296.657,0.0,0.0,101355.18
2021-01-30,18.8,72.8,299.5319,297.49857,0.0,0.0,101298.12
2021-01-30,19.05,72.8,300.12067,297.23727,0.0,0.0,101302.79
2021-01-31,18.8,72.8,299.9266,297.81204,0.0,0.0,101325.88
2021-01-31,19.05,72.8,300.2556,297.60538,0.0,0.0,101331.62
2021-02-01,18.8,72.8,301.86432,298.73648,0.0,0.0,101449.32
2021-02-01,19.05,72.8,302.5401,298.67886,0.0,0.0,101456.48
2021-02-02,18.8,72.8,301.8706,299.12903,0.0,0.0,101474.66
2021-02-02,19.05,72.8,301.73135,298.97974,0.0,0.0,101479.56
2021-02-03,18.8,72.8,300.01767,298.3557,0.0,0.0,101414.24
2021-02-03,19.05,72.8,300.8597,298.34064,0.0,0.0,101415.03
2021-02-04,18.8,72.8,299.4459,297.93423,0.0,0.0,101383.07
2021-02-04,19.05,72.8,300.16376,297.9336,0.0,0.0,101384.72
2021-02-05,18.8,72.8,299.84424,297.9736,0.0,0.0,101375.43
2021-02-05,19.05,72.8,300.5026,297.8942,0.0,0.0,101377.945
2021-02-06,18.8,72.8,300.9885,298.28616,0.0,0.0,101272.53
2021-02-06,19.05,72.8,301.27936,298.18533,0.0,0.0,101287.62
2021-02-07,18.8,72.8,301.22644,298.574,0.0,0.0,101311.23
2021-02-07,19.05,72.8,301.5923,298.4164,0.0,0.0,101329.25
2021-02-08,18.8,72.8,301.37173,298.53146,0.0,0.0,101378.29
2021-02-08,19.05,72.8,301.74036,298.29428,0.0,0.0,101388.37
2021-02-09,18.8,72.8,300.88336,298.30228,0.0,0.0,101291.586
2021-02-09,19.05,72.8,301.62244,298.19034,0.0,0.0,101298.51
2021-02-10,18.8,72.8,300.17194,298.01584,0.0,0.0,101192.375
2021-02-10,19.05,72.8,300.84308,298.0153,0.0,0.0,101193.68
2021-02-11,18.8,72.8,300.11987,298.09488,0.0,0.0,101076.84
2021-02-11,19.05,72.8,300.92108,298.11404,0.0,0.0,101079.695
2021-02-12,18.8,72.8,299.5844,298.1743,0.0,0.0,101141.79
2021-02-12,19.05,72.8,300.34198,298.21808,0.0,0.0,101137.0
2021-02-13,18.8,72.8,299.35992,297.92325,0.0,0.0,101270.85
2021-02-13,19.05,72.8,300.1078,297.9061,0.0,0.0,101267.445
2021-02-14,18.8,72.8,299.18253,297.88333,0.0,0.0,101310.26
2021-02-14,19.05,72.8,299.93512,297.92273,0.0,0.0,101307.37
2021-02-15,18.8,72.8,298.96906,297.731,0.0,0.0,101244.37
2021-02-15,19.05,72.8,299.53467,297.71643,0.0,0.0,101239.96
2021-02-16,18.8,72.8,298.49878,297.28458,0.0,0.0,101201.195
2021-02-16,19.05,72.8,299.05713,297.3268,0.0,0.0,101197.445
2021-02-17,18.8,72.8,299.06323,297.52588,0.0,0.0,101173.59
2021-02-17,19.05,72.8,299.89282,297.6899,0.0,0.0,101169.74
2021-02-18,18.8,72.8,299.66864,298.42993,4.2711523e-05,2.3437403e-06,101167.54
2021-02-18,19.05,72.8,300.62524,298.58792,4.4718385e-05,1.9529793e-06,101164.02
2021-02-19,18.8,72.8,301.22238,298.94055,9.249274e-06,6.3575334e-07,101344.91
2021-02-19,19.05,72.8,301.53278,298.94366,1.5640242e-05,7.3934217e-07,101354.13
2021-02-20,18.8,72.8,301.01392,298.73917,0.0,0.0,101360.52
2021-02-20,19.05,72.8,301.64893,298.7773,0.0,0.0,101371.445
2021-02-21,18.8,72.8,301.76135,299.44724,0.0,0.0,101304.695
2021-02-21,19.05,72.8,302.43994,299.52356,0.0,0.0,101316.195
2021-02-22,18.8,72.8,301.3977,299.59497,0.0,0.0,101337.78
2021-02-22,19.05,72.8,301.7642,299.68573,0.0,0.0,101337.87
2021-02-23,18.8,72.8,300.672,299.5205,0.0,0.0,101242.69
2021-02-23,19.05,72.8,301.5662,299.64163,0.0,0.0,101237.44
2021-02-24,18.8,72.8,301.4217,299.74124,4.099589e-05,1.708162e-06,101091.96
2021-02-24,19.05,72.8,302.20508,299.97815,0.0,0.0,101090.94
2021-02-25,18.8,72.8,301.13342,299.80872,0.0,0.0,101158.43
2021-02-25,19.05,72.8,301.98474,300.00192,0.0,0.0,101158.01
2021-02-26,18.8,72.8,300.01035,299.22794,2.8617796e-07,1.1924082e-08,101092.69
2021-02-26,19.05,72.8,300.86163,299.28842,0.0,0.0,101089.74
2021-02-27,18.8,72.8,300.93567,299.19867,0.0,0.0,100989.9
2021-02-27,19.05,72.8,301.76813,299.329,0.0,0.0,100990.82
2021-02-28,18.8,72.8,301.98895,299.9824,0.0,0.0,100940.25
2021-02-28,19.05,72.8,302.7323,300.17017,0.0,0.0,100942.586
2021-03-01,18.8,72.8,302.4391,300.65225,0.0,0.0,101173.32
2021-03-01,19.05,72.8,303.39246,300.91946,0.0,0.0,101175.66
2021-03-02,18.8,72.8,302.33234,300.7954,0.0,0.0,101257.15
2021-03-02,19.05,72.8,303.3456,300.95798,0.0,0.0,101259.75
2021-03-03,18.8,72.8,301.9718,300.37198,0.0,0.0,101114.57
2021-03-03,19.05,72.8,302.8719,300.55786,0.0,0.0,101116.625
2021-03-04,18.8,72.8,303.50708,300.74405,0.0,0.0,101060.88
2021-03-04,19.05,72.8,304.11514,301.00574,0.0,0.0,101060.305
2021-03-05,18.8,72.8,301.55182,300.2317,0.0,0.0,101177.805
2021-03-05,19.05,72.8,302.65265,300.70706,0.0,0.0,101167.04
2021-03-06,18.8,72.8,300.8053,299.59915,0.0,0.0,101281.52
2021-03-06,19.05,72.8,301.31528,299.66028,0.0,0.0,101272.68
2021-03-07,18.8,72.8,300.92905,298.996,1.2776985e-05,2.4354474e-06,101187.31
2021-03-07,19.05,72.8,301.69666,298.93723,3.0037652e-05,5.1652496e-06,101187.19
2021-03-08,18.8,72.8,301.61487,299.65735,0.0,0.0,101166.06
2021-03-08,19.05,72.8,302.38757,299.70905,0.0,0.0,101168.305
2021-03-09,18.8,72.8,302.26898,300.18747,0.0,0.0,101165.26
2021-03-09,19.05,72.8,303.0949,300.43222,0.0,0.0,101165.01
2021-03-10,18.8,72.8,301.50574,300.40836,0.0,0.0,101188.26
2021-03-10,19.05,72.8,302.39178,300.60385,0.0,0.0,101181.57
2021-03-11,18.8,72.8,300.79315,299.83557,0.0,0.0,101184.305
2021-03-11,19.05,72.8,301.6042,299.95792,0.0,0.0,101177.06
2021-03-12,18.8,72.8,300.85352,299.62967,0.0,0.0,101288.9
2021-03-12,19.05,72.8,301.6921,299.77017,0.0,0.0,101287.6
2021-03-13,18.8,72.8,302.8695,300.91635,0.0,0.0,101242.94
2021-03-13,19.05,72.8,303.7689,301.05026,0.0,0.0,101248.01
2021-03-14,18.8,72.8,302.03387,300.9964,0.0,0.0,101066.85
2021-03-14,19.05,72.8,303.0109,301.18466,0.0,0.0,101061.21
2021-03-15,18.8,72.8,302.25333,301.10617,0.0,0.0,100996.49
2021-03-15,19.05,72.8,303.2271,301.45557,0.0,0.0,100992.4
2021-03-16,18.8,72.8,302.1783,300.94266,0.0,0.0,101040.99
2021-03-16,19.05,72.8,303.151,301.2352,0.0,0.0,101036.5
2021-03-17,18.8,72.8,302.6762,300.79037,0.0,0.0,100930.82
2021-03-17,19.05,72.8,303.56616,301.08682,0.0,0.0,100924.31
2021-03-18,18.8,72.8,301.31476,300.50854,0.0,0.0,100933.13
2021-03-18,19.05,72.8,302.0644,300.69754,0.0,0.0,100922.44
2021-03-19,18.8,72.8,301.32895,300.31488,0.0,0.0,101030.63
2021-03-19,19.05,72.8,302.1226,300.48798,0.0,0.0,101025.88
2021-03-20,18.8,72.8,300.8405,299.461,0.0,0.0,100907.48
2021-03-20,19.05,72.8,301.76068,299.5984,0.0,0.0,100904.73
2021-03-21,18.8,72.8,301.03857,299.63516,5.721539e-07,5.1651025e-08,100839.49
2021-03-21,19.05,72.8,301.94977,299.80008,7.6287495e-07,7.9469736e-08,100833.836
2021-03-22,18.8,72.8,302.3589,300.2911,1.1440716e-06,8.739939e-08,101018.98
