,valid_time,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,heatwave_label
0,01-01-24,18.8,72.8,300.28345,298.79312,0,0,101279.91,1,0
1,01-01-24,19.05,72.8,300.91122,298.72922,0,0,101281.37,1,0
24,02-01-24,18.8,72.8,300.1916,298.49875,0,0,101224.32,1,0
25,02-01-24,19.05,72.8,300.74103,298.4006,0,0,101227.85,1,0
48,03-01-24,18.8,72.8,299.84067,298.13846,0,0,101160.195,1,0
49,03-01-24,19.05,72.8,300.2464,297.95554,0,0,101165.26,1,0
72,04-01-24,18.8,72.8,298.9578,297.49515,0,0,101200.57,1,0
73,04-01-24,19.05,72.8,299.37543,297.34164,0,0,101203.43,1,0
96,05-01-24,18.8,72.8,299.0781,297.35242,0,0,101210.24,1,0
97,05-01-24,19.05,72.8,299.59827,297.2723,0,0,101212.57,1,0
120,06-01-24,18.8,72.8,300.4831,298.2595,0,0,101211.73,1,0
121,06-01-24,19.05,72.8,300.85468,298.1513,0,0,101217.97,1,0
144,07-01-24,18.8,72.8,299.89746,298.60324,0,0,101217.69,1,0
145,07-01-24,19.05,72.8,300.3091,298.5051,0,0,101218.305,1,0
168,08-01-24,18.8,72.8,301.25287,299.44943,1.37E-05,8.35E-07,101211.37,1,0
169,08-01-24,19.05,72.8,301.69086,299.4279,2.29E-06,1.59E-07,101215.21,1,0
192,09-01-24,18.8,72.8,299.52698,298.95828,0.000179677,4.42E-05,101285.43,1,0
193,09-01-24,19.05,72.8,299.95996,298.85513,0.000186907,2.74E-05,101282.81,1,0
216,10-01-24,18.8,72.8,300.86575,299.24658,7.76E-05,1.32E-05,101303.32,1,0
217,10-01-24,19.05,72.8,301.3096,299.24686,8.01E-05,1.15E-05,101307.22,1,0
240,11-01-24,18.8,72.8,301.6171,299.712,2.08E-05,1.11E-06,101316.74,1,0
241,11-01-24,19.05,72.8,302.24188,299.76593,7.72E-06,3.86E-07,101323.23,1,0
264,12-01-24,18.8,72.8,302.24097,300.11755,0,0,101247.81,1,0
265,12-01-24,19.05,72.8,302.87125,300.1791,0,0,101254.44,1,0
288,13-01-24,18.8,72.8,301.79803,299.97473,0,0,101350.22,1,0
289,13-01-24,19.05,72.8,302.53693,300.10394,0,0,101351.35,1,0
312,14-01-24,18.8,72.8,301.14093,299.7385,0,0,101417.97,1,0
313,14-01-24,19.05,72.8,301.7415,299.79288,0,0,101426.88,1,0
336,15-01-24,18.8,72.8,300.26837,298.6218,0,0,101405.06,1,0
337,15-01-24,19.05,72.8,300.65198,298.4573,0,0,101409.555,1,0
360,16-01-24,18.8,72.8,298.87057,297.26022,0,0,101223.695,1,0
361,16-01-24,19.05,72.8,299.50067,297.22403,0,0,101222.9,1,0
384,17-01-24,18.8,72.8,298.07574,296.9744,0,0,101154.1,1,0
385,17-01-24,19.05,72.8,298.62726,296.8956,0,0,101152.23,1,0
408,18-01-24,18.8,72.8,297.7489,296.6658,2.58E-06,1.43E-07,101296.85,1,0
409,18-01-24,19.05,72.8,298.1974,296.65338,0,0,101295.54,1,0
432,19-01-24,18.8,72.8,297.9648,296.7665,0,0,101288.97,1,0
433,19-01-24,19.05,72.8,298.40244,296.70752,0,0,101285.81,1,0
456,20-01-24,18.8,72.8,298.63556,297.28052,0,0,101391.805,1,0
457,20-01-24,19.05,72.8,299.13196,297.18613,1.91E-07,1.19E-08,101391.72,1,0
480,21-01-24,18.8,72.8,299.83438,297.5101,0,0,101367.73,1,0
481,21-01-24,19.05,72.8,300.2844,297.4896,0,0,101370.29,1,0
504,22-01-24,18.8,72.8,298.53143,297.4148,0,0,101427.695,1,0
505,22-01-24,19.05,72.8,298.9218,297.46664,0,0,101426.59,1,0
528,23-01-24,18.8,72.8,299.46518,297.4127,0,0,101466.15,1,0
529,23-01-24,19.05,72.8,299.87216,297.33267,0,0,101471.23,1,0
552,24-01-24,18.8,72.8,299.82544,297.2696,0,0,101398.27,1,0
553,24-01-24,19.05,72.8,300.23883,297.21674,0,0,101408.664,1,0
576,25-01-24,18.8,72.8,299.58148,297.2189,0,0,101476.25,1,0
577,25-01-24,19.05,72.8,300.48322,297.0687,0,0,101485.69,1,0
