latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp,month,day_of_year,year,heatwave_label
18.8,72.8,299.21042,296.81256,0,0,101726.086,1,1,2019,0
19.05,72.8,299.89655,296.60733,0,0,101731.23,1,1,2019,0
18.8,72.8,299.5584,297.16934,0,0,101696.21,1,2,2019,0
19.05,72.8,300.08356,296.94342,0,0,101702.5,1,2,2019,0
18.8,72.8,299.0694,297.01758,0,0,101749.59,1,3,2019,0
19.05,72.8,300.00418,296.75137,0,0,101752.305,1,3,2019,0
18.8,72.8,299.7059,297.16797,0,0,101626.56,1,4,2019,0
19.05,72.8,300.35745,296.8257,0,0,101630.25,1,4,2019,0
18.8,72.8,298.74323,296.97095,0,0,101502.9,1,5,2019,0
19.05,72.8,299.36612,296.69086,0,0,101504.22,1,5,2019,0
18.8,72.8,299.62747,296.85806,0,0,101409.125,1,6,2019,0
19.05,72.8,300.08777,296.61105,0,0,101418.914,1,6,2019,0
18.8,72.8,299.83395,296.97034,0,0,101367.51,1,7,2019,0
19.05,72.8,300.07532,296.70926,0,0,101383.414,1,7,2019,0
18.8,72.8,299.43893,296.8914,0,0,101402.875,1,8,2019,0
19.05,72.8,299.83624,296.48517,0,0,101411.94,1,8,2019,0
18.8,72.8,298.70837,296.32425,0,0,101379.77,1,9,2019,0
19.05,72.8,299.19238,295.99924,0,0,101385.06,1,9,2019,0
18.8,72.8,299.06665,296.5551,0,0,101283.32,1,10,2019,0
19.05,72.8,299.84167,296.2936,0,0,101288.28,1,10,2019,0
18.8,72.8,298.62454,296.6529,0,0,101340.01,1,11,2019,0
19.05,72.8,299.1494,296.45493,0,0,101340.555,1,11,2019,0
18.8,72.8,298.26733,296.22058,0,0,101379.586,1,12,2019,0
19.05,72.8,298.91138,296.05026,0,0,101378.97,1,12,2019,0
18.8,72.8,299.04346,296.44028,0,0,101438.125,1,13,2019,0
19.05,72.8,299.54092,296.271,0,0,101443.945,1,13,2019,0
18.8,72.8,299.5288,296.9788,0,0,101339.414,1,14,2019,0
19.05,72.8,299.96448,296.80536,0,0,101348.29,1,14,2019,0
18.8,72.8,300.31775,297.69553,0,0,101372.336,1,15,2019,0
19.05,72.8,300.98166,297.56424,0,0,101383.93,1,15,2019,0
18.8,72.8,299.5633,297.46512,0,0,101395.66,1,16,2019,0
19.05,72.8,300.2845,297.37277,0,0,101399.18,1,16,2019,0
18.8,72.8,299.4739,297.5464,0,0,101311.82,1,17,2019,0
19.05,72.8,300.11432,297.40768,0,0,101317.586,1,17,2019,0
18.8,72.8,299.5122,297.45645,0,0,101287.055,1,18,2019,0
19.05,72.8,300.25708,297.1932,0,0,101291.07,1,18,2019,0
18.8,72.8,300.138,297.68295,0,0,101352.32,1,19,2019,0
19.05,72.8,300.96542,297.6492,0,0,101353.48,1,19,2019,0
18.8,72.8,300.04578,297.7308,0,0,101422.34,1,20,2019,0
19.05,72.8,300.61224,297.65625,0,0,101423.695,1,20,2019,0
18.8,72.8,298.40527,297.1904,0,0,101347.32,1,21,2019,0
19.05,72.8,298.89096,297.05185,0,0,101346.16,1,21,2019,0
18.8,72.8,297.25253,296.21896,7.06E-06,1.49E-06,101402.97,1,22,2019,0
19.05,72.8,297.6013,296.12866,1.07E-05,1.55E-06,101400.94,1,22,2019,0
18.8,72.8,297.0853,295.9458,4.73E-05,1.47E-05,101494.555,1,23,2019,0
19.05,72.8,297.3278,295.8226,2.98E-05,7.28E-06,101500.63,1,23,2019,0
18.8,72.8,297.68887,295.71957,0,0,101521.54,1,24,2019,0
19.05,72.8,298.17914,295.6352,0,0,101525.79,1,24,2019,0
18.8,72.8,297.51422,295.58646,0,0,101505.79,1,25,2019,0
19.05,72.8,297.8447,295.43808,0,0,101516.82,1,25,2019,0
18.8,72.8,297.6321,295.41602,0,0,101521.28,1,26,2019,0
19.05,72.8,297.9593,295.3085,0,0,101540.88,1,26,2019,0
18.8,72.8,298.38596,296.32352,0,0,101539.086,1,27,2019,0
19.05,72.8,298.6176,296.15643,0,0,101566.38,1,27,2019,0
18.8,72.8,298.311,296.3673,0,0,101629.72,1,28,2019,0
19.05,72.8,298.55646,296.14093,0,0,101657.664,1,28,2019,0
18.8,72.8,298.76453,296.3279,0,0,101600.805,1,29,2019,0
19.05,72.8,298.93695,296.0333,0,0,101620.27,1,29,2019,0
18.8,72.8,298.72925,296.3345,0,0,101533.29,1,30,2019,0
19.05,72.8,299.54327,296.0405,0,0,101540.56,1,30,2019,0
18.8,72.8,297.77112,296.15536,0,0,101442.44,1,31,2019,0
19.05,72.8,298.2703,295.93973,0,0,101446.69,1,31,2019,0
18.8,72.8,297.9864,296.1469,0,0,101423.414,2,32,2019,0
19.05,72.8,298.66342,296.0015,0,0,101425.87,2,32,2019,0
