valid_time,latitude,longitude,t2m
01-05-2024,19.05,72.8,302.6805
01-05-2024,18.8,72.8,302.3444
02-05-2024,19.05,72.8,301.8137
02-05-2024,18.8,72.8,301.58856
03-05-2024,19.05,72.8,301.32852
03-05-2024,18.8,72.8,301.0878
04-05-2024,19.05,72.8,301.72183
04-05-2024,18.8,72.8,301.34418
05-05-2024,19.05,72.8,302.54694
05-05-2024,18.8,72.8,302.12753
06-05-2024,19.05,72.8,302.28873
06-05-2024,18.8,72.8,301.9609
07-05-2024,19.05,72.8,302.1897
07-05-2024,18.8,72.8,302.00095
08-05-2024,19.05,72.8,302.07645
08-05-2024,18.8,72.8,301.78262
09-05-2024,19.05,72.8,302.05737
09-05-2024,18.8,72.8,301.78964
10-05-2024,19.05,72.8,301.8863
10-05-2024,18.8,72.8,301.66354
11-05-2024,19.05,72.8,302.21872
11-05-2024,18.8,72.8,301.942
12-05-2024,19.05,72.8,302.28525
12-05-2024,18.8,72.8,302.09344
13-05-2024,19.05,72.8,302.6368
13-05-2024,18.8,72.8,302.31168
14-05-2024,19.05,72.8,303.37366
14-05-2024,18.8,72.8,302.87936
15-05-2024,19.05,72.8,303.1672
15-05-2024,18.8,72.8,302.80478
16-05-2024,19.05,72.8,303.45065
16-05-2024,18.8,72.8,303.01794
17-05-2024,19.05,72.8,303.17688
17-05-2024,18.8,72.8,302.9428
18-05-2024,19.05,72.8,303.34744
18-05-2024,18.8,72.8,303.04855
19-05-2024,19.05,72.8,303.64725
19-05-2024,18.8,72.8,303.29092
20-05-2024,19.05,72.8,303.54276
20-05-2024,18.8,72.8,303.18625
21-05-2024,19.05,72.8,303.70535
21-05-2024,18.8,72.8,303.20737
22-05-2024,19.05,72.8,303.53857
22-05-2024,18.8,72.8,303.05243
23-05-2024,19.05,72.8,303.36227
23-05-2024,18.8,72.8,302.9519
24-05-2024,19.05,72.8,303.20682
24-05-2024,18.8,72.8,302.83008
25-05-2024,19.05,72.8,303.20984
25-05-2024,18.8,72.8,302.84073
26-05-2024,19.05,72.8,303.38828
26-05-2024,18.8,72.8,303.02963
27-05-2024,19.05,72.8,303.26205
27-05-2024,18.8,72.8,302.99307
28-05-2024,19.05,72.8,303.3562
28-05-2024,18.8,72.8,303.03366
29-05-2024,19.05,72.8,303.4999
29-05-2024,18.8,72.8,303.27032
30-05-2024,19.05,72.8,303.76987
30-05-2024,18.8,72.8,303.46695
31-05-2024,19.05,72.8,303.44528
31-05-2024,18.8,72.8,303.15518
