DATE,DPT,WBT,DBT,Normal_Temp,Heatwave,heatwave_days
01-01-10,16.0875,19.775,25.725,30.4,0,0
02-01-10,18.2,21.375,26.975,30.4,0,0
03-01-10,19.7375,22.025,26.3,30.4,0,0
04-01-10,18.025,20.45,24.575,30.4,0,0
05-01-10,18.55,20.575,24.175,30.4,0,0
06-01-10,17.55,20.525,25.575,30.4,0,0
07-01-10,15.475,19.875,26.675,30.4,0,0
08-01-10,15.525,19.55,25.775,30.4,0,0
09-01-10,14.8875,18.925,24.975,30.4,0,0
10-01-10,15.775,19.425,25.2,30.4,0,0
11-01-10,18.7375,21.325,25.925,30.4,0,0
12-01-10,20.5125,22.5,26.275,30.4,0,0
13-01-10,12.5875,17.5,23.975,30.4,0,0
14-01-10,12.9125,17,22.65,30.4,0,0
15-01-10,16.5,20.05,25.85,30.4,0,0
16-01-10,17.4625,21.225,27.6,30.4,0,0
17-01-10,14.75,19.15,25.625,30.4,0,0
18-01-10,16.45,19.325,24,30.4,0,0
19-01-10,15.575,19.275,25.075,30.4,0,0
20-01-10,14.0375,18.8,25.9,30.4,0,0
21-01-10,14.3,19.05,26.05,30.4,0,0
22-01-10,15.325,19.225,25.15,30.4,0,0
23-01-10,15.3875,19.025,24.45,30.4,0,0
24-01-10,16.8,19.75,24.55,30.4,0,0
25-01-10,15.35714286,18.85714286,24.2,30.4,0,0
26-01-10,12.725,18.2,25.9,30.4,0,0
27-01-10,13.725,18.45,25.325,30.4,0,0
28-01-10,12.125,17.725,25.275,30.4,0,0
29-01-10,14.025,18.275,24.55,30.4,0,0
30-01-10,14.15,18.875,25.825,30.4,0,0
31-01-10,15.65,19.35,25.175,30.4,0,0
01-02-10,18.2,20.725,25.175,31.1,0,0
02-02-10,18.9875,21.25,25.35,31.1,0,0
03-02-10,18.8625,20.725,24.1,31.1,0,0
04-02-10,19.05,20.75,23.875,31.1,0,0
05-02-10,20.325,21.7,24.375,31.1,0,0
06-02-10,20.375,22.35,26.275,31.1,0,0
07-02-10,19.5125,21.875,26.425,31.1,0,0
08-02-10,21.525,22.7,25.1,31.1,0,0
09-02-10,21.25,22.575,25.275,31.1,0,0
10-02-10,19.475,21.45,24.975,31.1,0,0
11-02-10,17.4625,19.975,24.225,31.1,0,0
12-02-10,18.1375,20.45,24.425,31.1,0,0
13-02-10,14.925,18.775,24.35,31.1,0,0
14-02-10,12.5125,17.85,25.1,31.1,0,0
15-02-10,12.525,17.925,25.3,31.1,0,0
16-02-10,10.5875,17.1,25.4,31.1,0,0
17-02-10,12.25,18.15,25.975,31.1,0,0
18-02-10,15.4625,19.075,24.7625,31.1,0,0
19-02-10,15.9875,19.35,24.575,31.1,0,0
20-02-10,17.575,20.375,25.175,31.1,0,0
21-02-10,19.625,21.8,25.675,31.1,0,0
22-02-10,18.9125,21.675,26.3,31.1,0,0
23-02-10,19.2,21.2,24.875,31.1,0,0
24-02-10,17.75,20.125,24.075,31.1,0,0
25-02-10,18.475,20.5,24.075,31.1,0,0
26-02-10,19.0375,21.425,25.825,31.1,0,0
27-02-10,16.175,20.425,27.625,31.1,1,1
28-02-10,14.8125,20,28.125,31.1,1,1
01-03-10,16.4,21.075,28.5,32.6,0,0
02-03-10,20.2125,22.775,27.5,32.6,0,0
03-03-10,20.3125,22.7375,26.65,32.6,0,0
04-03-10,20.15,22.35,26.35,32.6,0,0
05-03-10,21.3,22.85,25.95,32.6,0,0
06-03-10,20.5375,22.4,25.975,32.6,0,0
07-03-10,19.575,21.775,25.85,32.6,0,0
08-03-10,17.3,21,27.1,32.6,0,0
09-03-10,15.9125,20.375,27.725,32.6,0,0
10-03-10,18.65,22.225,28.55,32.6,0,0
11-03-10,22.1875,24.275,28.6,32.6,0,0
12-03-10,19.75,23.3,29.95,32.6,0,0
13-03-10,18.6875,22.9,30.625,32.6,1,0
14-03-10,22.1375,24.05,28.025,32.6,0,0
15-03-10,21.2125,23.025,26.675,32.6,0,0
16-03-10,21.2625,22.825,26,32.6,0,0
17-03-10,22.4,24.025,27.4,32.6,0,0
18-03-10,22.5625,24.85,29.625,32.6,0,0
19-03-10,22.8125,25.075,29.875,32.6,0,0
20-03-10,24.5625,26,29.275,32.6,0,0
21-03-10,23.525,25.3,29.275,32.6,0,0
22-03-10,16.2375,21.65,29.95,32.6,1,0
23-03-10,18.9625,22.025,27.725,32.6,0,0
24-03-10,21.8875,23.675,27.425,32.6,0,0
25-03-10,22.925,24.375,27.525,32.6,0,0
26-03-10,22.675,24.25,27.6,32.6,0,0
27-03-10,22.125,23.95,27.725,32.6,0,0
28-03-10,22.1375,24.025,27.9,32.6,0,0
29-03-10,20.0625,23.15,28.775,32.6,0,0
30-03-10,21.55,23.3,27.05,32.6,0,0
31-03-10,22.5625,24.3,27.975,32.6,0,0
01-04-10,22.2625,24.4,28.9,33,0,0
02-04-10,23.1125,24.75,28.325,33,0,0
03-04-10,20.5375,23.7,29.575,33,0,0
04-04-10,18.0375,21.7,28.225,33,0,0
05-04-10,19.1625,23.225,30.575,33,0,0
06-04-10,21.075,23.925,29.725,33,0,0
07-04-10,22.7125,25,29.9,33,0,0
08-04-10,23.9125,26.075,31.075,33,0,0
09-04-10,25.7,27.05,30.35,33,0,0
10-04-10,25.4125,26.625,29.575,33,0,0
11-04-10,20.925,23.775,29.45,33,0,0
12-04-10,22.3,24.675,29.875,33,0,0
13-04-10,23.5125,25.175,28.95,33,0,0
14-04-10,24.575,26.15,29.85,33,0,0
15-04-10,25.125,26.55,30,33,0,0
16-04-10,25.325,26.825,30.45,33,0,0
17-04-10,24.45,26.575,31.35,33,0,0
18-04-10,25.5125,26.9,30.35,33,0,0
19-04-10,24.5375,26.225,30.175,33,0,0
20-04-10,24.2875,26.15,30.525,33,0,0
21-04-10,24.7625,26.4,30.325,33,0,0
22-04-10,25.0375,26.425,29.775,33,0,0
23-04-10,24.9125,26.85,31.55,33,0,0
24-04-10,25.25,27.025,31.35,33,0,0
25-04-10,23.92857143,26,30.85714286,33,0,0
26-04-10,25.75,27.35,31.375,33,0,0
27-04-10,24.8,26.65,31.125,33,0,0
28-04-10,24.4875,26.3,30.6,33,0,0
29-04-10,24.4625,26.45,31.075,33,0,0
30-04-10,25.1375,27.025,31.575,33,0,0
01-05-10,25.2,27,31.35,33.3,0,0
02-05-10,25.1125,26.725,30.65,33.3,0,0
03-05-10,24.475,26.375,30.775,33.3,0,0
04-05-10,24.3,26.25,30.75,33.3,0,0
05-05-10,24.9625,26.575,30.45,33.3,0,0
06-05-10,25.15,26.775,30.75,33.3,0,0
07-05-10,26.1375,27.625,31.4,33.3,0,0
08-05-10,25.65,27.475,31.975,33.3,0,0
09-05-10,25.2875,27.3,32.275,33.3,0,0
10-05-10,26.1125,27.675,31.675,33.3,0,0
11-05-10,24.85,26.75,31.25,33.3,0,0
12-05-10,25.175,26.775,30.525,33.3,0,0
13-05-10,24.7625,26.5,30.65,33.3,0,0
14-05-10,24.8875,26.7,31.05,33.3,0,0
15-05-10,24.3125,26.275,30.85,33.3,0,0
16-05-10,24.275,26.125,30.5,33.3,0,0
17-05-10,25.175,26.875,31,33.3,0,0
18-05-10,25.8,27.475,31.675,33.3,0,0
19-05-10,26.4625,27.7625,30.675,33.3,0,0
20-05-10,26.3875,27.675,30.975,33.3,0,0
21-05-10,26.6375,27.95,31.375,33.3,0,0
22-05-10,27.35,28.525,31.7,33.3,0,0
23-05-10,26.9625,28.275,31.775,33.3,0,0
24-05-10,26.9,28.2,31.625,33.3,0,0
25-05-10,26.65,28.075,31.8,33.3,0,0
26-05-10,26.0375,27.725,31.975,33.3,0,0
27-05-10,26.125,27.775,32,33.3,0,0
28-05-10,25.7,27.5,31.975,33.3,0,0
29-05-10,25.1625,27.025,31.575,33.3,0,0
30-05-10,24.5375,26.65,31.675,33.3,0,0
31-05-10,25.175,27.125,31.9,33.3,0,0
01-06-10,25.325,27.325,32.2875,32,0,0
02-06-10,25.9375,27.45,31.3,32,0,0
03-06-10,26.1125,27.775,32,32,0,0
04-06-10,25.6,27.375,31.8,32,0,0
05-06-10,25.525,27.375,31.975,32,0,0
06-06-10,25.5125,27.075,30.875,32,0,0
07-06-10,25.725,26.975,30.075,32,0,0
08-06-10,25.2625,26.5,29.5,32,0,0
09-06-10,24.7875,26.15,29.1,32,0,0
10-06-10,25.45,27,30.825,32,0,0
11-06-10,24.7,25.925,28.85,32,0,0
12-06-10,25.9375,26.95,29.525,32,0,0
13-06-10,25.85714286,26.88571429,29.42857143,32,0,0
14-06-10,25.4125,26.225,28.2,32,0,0
15-06-10,25.3125,25.8,26.95,32,0,0
16-06-10,25.6125,26.025,27.025,32,0,0
17-06-10,25.65,26.55,28.75,32,0,0
