valid_time,latitude,longitude,temperature,volumetric_soil_water_layer_1,precipitation,sea_surface_temperature,soil_temperature_level_1,soil_type,surface_pressure
01-05-2024,18.8,72.8,302.3444,0.028105043,0.0,302.76273,303.0579,0,100375.41
01-05-2024,19.05,72.8,302.6805,0.026228828,0.0,302.85666,303.6378,0,100438.91
02-05-2024,18.8,72.8,301.58856,0.02807489,0.0,302.78848,302.96512,0,100417.945
02-05-2024,19.05,72.8,301.8137,0.026442325,0.0,302.79294,303.39496,0,100484.24
03-05-2024,18.8,72.8,301.0878,0.027911285,0.0,302.93222,303.0303,0,100516.945
03-05-2024,19.05,72.8,301.32852,0.026734397,0.0,302.92545,303.41757,0,100586.96
04-05-2024,18.8,72.8,301.34418,0.027939992,1.17e-06,303.1305,303.2907,0,100614.77
04-05-2024,19.05,72.8,301.72183,0.026449965,1.04e-06,303.13644,303.75198,0,100681.94
05-05-2024,18.8,72.8,302.12753,0.0278532,3.97e-09,303.19995,303.42007,0,100439.82
05-05-2024,19.05,72.8,302.54694,0.02600921,0.0,303.2782,304.01962,0,100505.23
06-05-2024,18.8,72.8,301.9609,0.027929112,1.13e-06,303.38107,303.57516,0,100524.31
06-05-2024,19.05,72.8,302.28873,0.02611162,6.28e-07,303.38425,304.08078,0,100590.77
07-05-2024,18.8,72.8,302.00095,0.028199656,6.72e-07,303.2859,303.4847,0,100616.77
07-05-2024,19.05,72.8,302.1897,0.02616024,3.02e-07,303.281,303.95474,0,100683.37
08-05-2024,18.8,72.8,301.78262,0.028291866,7.91e-07,302.95938,303.20935,0,100585.82
08-05-2024,19.05,72.8,302.07645,0.025629878,1.45e-06,302.89786,303.72482,0,100652.38
09-05-2024,18.8,72.8,301.78964,0.028178612,2.87e-06,303.07108,303.29327,0,100521.82
09-05-2024,19.05,72.8,302.05737,0.025167758,2.43e-06,303.02713,303.83505,0,100591.805
10-05-2024,18.8,72.8,301.66354,0.028651744,4.97e-07,303.2914,303.449,0,100633.97
10-05-2024,19.05,72.8,301.8863,0.025537217,5.21e-07,303.18933,303.88785,0,100705.086
11-05-2024,18.8,72.8,301.942,0.02912443,5.56e-08,303.37216,303.4635,0,100693.09
11-05-2024,19.05,72.8,302.21872,0.026439851,7.94e-08,303.30905,303.8807,0,100764.19
12-05-2024,18.8,72.8,302.09344,0.02940298,8.72e-06,303.27332,303.38107,0,100705.78
12-05-2024,19.05,72.8,302.28525,0.027832322,1.76e-05,303.2157,303.77585,0,100779.53
13-05-2024,18.8,72.8,302.31168,0.034277607,4.84e-05,303.20105,303.3498,0,100636.41
13-05-2024,19.05,72.8,302.6368,0.02847105,7.88e-06,303.2157,303.91238,0,100709.73
14-05-2024,18.8,72.8,302.87936,0.04223676,4.49e-06,303.30972,303.3997,0,100566.56
14-05-2024,19.05,72.8,303.37366,0.029412774,7.72e-06,303.37198,304.04312,0,100638.98
15-05-2024,18.8,72.8,302.80478,0.039685454,0.0,303.46085,303.60367,0,100614.23
