sr,latitude,longitude,valid_time,t2m,temp,tp
0,18.4,73.5,01-01-24,296.1525,23.0025,0
1,18.4,73.5,02-01-24,296.3392,23.1892,0
2,18.4,73.5,03-01-24,296.38007,23.23007,0
3,18.4,73.5,04-01-24,295.8215,22.6715,0
4,18.4,73.5,05-01-24,295.00024,21.85024,0
5,18.4,73.5,06-01-24,295.55334,22.40334,1.76E-06
6,18.4,73.5,07-01-24,296.24966,23.09966,4.31E-06
7,18.4,73.5,08-01-24,297.5028,24.3528,7.56E-06
8,18.4,73.5,09-01-24,296.80246,23.65246,2.86E-05
9,18.4,73.5,10-01-24,296.31073,23.16073,6.27E-05
10,18.4,73.5,11-01-24,297.86728,24.71728,2.15E-06
11,18.4,73.5,12-01-24,298.00473,24.85473,0
12,18.4,73.5,13-01-24,297.89148,24.74148,0
13,18.4,73.5,14-01-24,297.44077,24.29077,0
14,18.4,73.5,15-01-24,295.70526,22.55526,0
15,18.4,73.5,16-01-24,294.2631,21.1131,0
16,18.4,73.5,17-01-24,294.02234,20.87234,0
17,18.4,73.5,18-01-24,293.27332,20.12332,1.99E-08
18,18.4,73.5,19-01-24,293.9255,20.7755,0
19,18.4,73.5,20-01-24,294.5394,21.3894,0
20,18.4,73.5,21-01-24,295.2176,22.0676,0
21,18.4,73.5,22-01-24,294.7178,21.5678,0
22,18.4,73.5,23-01-24,293.69547,20.54547,0
23,18.4,73.5,24-01-24,293.56778,20.41778,0
24,18.4,73.5,25-01-24,294.19498,21.04498,0
25,18.4,73.5,26-01-24,295.20837,22.05837,0
26,18.4,73.5,27-01-24,296.3429,23.1929,0
27,18.4,73.5,28-01-24,296.8472,23.6972,0
28,18.4,73.5,29-01-24,296.91806,23.76806,0
29,18.4,73.5,30-01-24,296.42285,23.27285,0
30,18.4,73.5,31-01-24,295.8912,22.7412,0
31,18.4,73.5,01-02-24,291.22772,18.07772,0
32,18.4,73.5,02-02-24,,-273.15,
33,18.4,73.5,03-02-24,,-273.15,
34,18.4,73.5,04-02-24,,-273.15,
35,18.4,73.5,05-02-24,,-273.15,
36,18.4,73.5,06-02-24,,-273.15,
37,18.4,73.5,07-02-24,,-273.15,
38,18.4,73.5,08-02-24,,-273.15,
39,18.4,73.5,09-02-24,,-273.15,
40,18.4,73.5,10-02-24,,-273.15,
41,18.4,73.5,11-02-24,,-273.15,
42,18.4,73.5,12-02-24,,-273.15,
43,18.4,73.5,13-02-24,,-273.15,
44,18.4,73.5,14-02-24,,-273.15,
45,18.4,73.5,15-02-24,,-273.15,
46,18.4,73.5,16-02-24,,-273.15,
47,18.4,73.5,17-02-24,,-273.15,
48,18.4,73.5,18-02-24,,-273.15,
49,18.4,73.5,19-02-24,,-273.15,
50,18.4,73.5,20-02-24,,-273.15,
51,18.4,73.5,21-02-24,,-273.15,
52,18.4,73.5,22-02-24,,-273.15,
53,18.4,73.5,23-02-24,,-273.15,
54,18.4,73.5,24-02-24,,-273.15,
55,18.4,73.5,25-02-24,,-273.15,
56,18.4,73.5,26-02-24,,-273.15,
57,18.4,73.5,27-02-24,,-273.15,
58,18.4,73.5,28-02-24,,-273.15,
59,18.4,73.5,29-02-24,,-273.15,
60,18.4,73.5,01-03-24,301.19482,28.04482,1.08E-05
61,18.4,73.5,02-03-24,298.37192,25.22192,0
62,18.4,73.5,03-03-24,297.11478,23.96478,5.43E-06
63,18.4,73.5,04-03-24,295.77667,22.62667,0
64,18.4,73.5,05-03-24,296.75674,23.60674,0
