,latitude,longitude,valid_time,temp,tp
0,18.4,73.5,01-01-24,23.1525,0.0
1,18.4,73.5,02-01-24,23.3392,0.0
2,18.4,73.5,03-01-24,23.38007,0.0
3,18.4,73.5,04-01-24,22.8215,0.0
4,18.4,73.5,05-01-24,22.00024,0.0
5,18.4,73.5,06-01-24,22.55334,1.76e-06
6,18.4,73.5,07-01-24,23.24966,4.31e-06
7,18.4,73.5,08-01-24,24.5028,7.56e-06
8,18.4,73.5,09-01-24,23.80246,2.86e-05
9,18.4,73.5,10-01-24,23.31073,6.27e-05
10,18.4,73.5,11-01-24,24.86728,2.15e-06
11,18.4,73.5,12-01-24,25.00473,0.0
12,18.4,73.5,13-01-24,24.89148,0.0
13,18.4,73.5,14-01-24,24.44077,0.0
14,18.4,73.5,15-01-24,22.70526,0.0
15,18.4,73.5,16-01-24,21.2631,0.0
16,18.4,73.5,17-01-24,21.02234,0.0
17,18.4,73.5,18-01-24,20.27332,1.99e-08
18,18.4,73.5,19-01-24,20.9255,0.0
19,18.4,73.5,20-01-24,21.5394,0.0
20,18.4,73.5,21-01-24,22.2176,0.0
21,18.4,73.5,22-01-24,21.7178,0.0
22,18.4,73.5,23-01-24,20.69547,0.0
23,18.4,73.5,24-01-24,20.56778,0.0
24,18.4,73.5,25-01-24,21.19498,0.0
25,18.4,73.5,26-01-24,22.20837,0.0
26,18.4,73.5,27-01-24,23.3429,0.0
27,18.4,73.5,28-01-24,23.8472,0.0
28,18.4,73.5,29-01-24,23.91806,0.0
29,18.4,73.5,30-01-24,23.42285,0.0
30,18.4,73.5,31-01-24,22.8912,0.0
31,18.4,73.5,01-02-24,18.22772,0.0
32,18.4,73.5,02-02-24,-273.0,
33,18.4,73.5,03-02-24,-273.0,
34,18.4,73.5,04-02-24,-273.0,
35,18.4,73.5,05-02-24,-273.0,
36,18.4,73.5,06-02-24,-273.0,
37,18.4,73.5,07-02-24,-273.0,
38,18.4,73.5,08-02-24,-273.0,
39,18.4,73.5,09-02-24,-273.0,
40,18.4,73.5,10-02-24,-273.0,
41,18.4,73.5,11-02-24,-273.0,
42,18.4,73.5,12-02-24,-273.0,
43,18.4,73.5,13-02-24,-273.0,
44,18.4,73.5,14-02-24,-273.0,
45,18.4,73.5,15-02-24,-273.0,
46,18.4,73.5,16-02-24,-273.0,
47,18.4,73.5,17-02-24,-273.0,
48,18.4,73.5,18-02-24,-273.0,
49,18.4,73.5,19-02-24,-273.0,
50,18.4,73.5,20-02-24,-273.0,
51,18.4,73.5,21-02-24,-273.0,
52,18.4,73.5,22-02-24,-273.0,
53,18.4,73.5,23-02-24,-273.0,
54,18.4,73.5,24-02-24,-273.0,
55,18.4,73.5,25-02-24,-273.0,
56,18.4,73.5,26-02-24,-273.0,
57,18.4,73.5,27-02-24,-273.0,
58,18.4,73.5,28-02-24,-273.0,
59,18.4,73.5,29-02-24,-273.0,
60,18.4,73.5,01-03-24,28.19482,1.08e-05
61,18.4,73.5,02-03-24,25.37192,0.0
62,18.4,73.5,03-03-24,24.11478,5.43e-06
63,18.4,73.5,04-03-24,22.77667,0.0
64,18.4,73.5,05-03-24,23.75674,0.0
65,18.4,73.5,06-03-24,24.3003,0.0
66,18.4,73.5,07-03-24,24.54422,0.0
67,18.4,73.5,08-03-24,26.05396,0.0
68,18.4,73.5,09-03-24,26.26913,0.0
69,18.4,73.5,10-03-24,26.24316,0.0
70,18.4,73.5,11-03-24,26.78476,0.0
71,18.4,73.5,12-03-24,27.26657,0.0
72,18.4,73.5,13-03-24,26.34058,0.0
73,18.4,73.5,14-03-24,25.58994,0.0
74,18.4,73.5,15-03-24,24.89737,0.0
75,18.4,73.5,16-03-24,25.79028,0.0
76,18.4,73.5,17-03-24,26.18787,0.0
77,18.4,73.5,18-03-24,26.017,0.0
78,18.4,73.5,19-03-24,26.40457,0.0
79,18.4,73.5,20-03-24,26.71713,0.0
80,18.4,73.5,21-03-24,27.1003,0.0
81,18.4,73.5,22-03-24,27.9561,0.0
82,18.4,73.5,23-03-24,27.48068,0.0
83,18.4,73.5,24-03-24,27.714,0.0
84,18.4,73.5,25-03-24,28.33664,0.0
85,18.4,73.5,26-03-24,28.46536,0.0
86,18.4,73.5,27-03-24,28.35986,1.53e-06
87,18.4,73.5,28-03-24,28.50098,0.0
88,18.4,73.5,29-03-24,28.8083,1.01e-05
89,18.4,73.5,30-03-24,29.02148,3.51e-06
90,18.4,73.5,31-03-24,29.91913,0.0
91,18.4,73.5,01-04-24,25.4263,0.0
92,18.4,73.5,02-04-24,-273.0,
93,18.4,73.5,03-04-24,-273.0,
94,18.4,73.5,04-04-24,-273.0,
95,18.4,73.5,05-04-24,-273.0,
96,18.4,73.5,06-04-24,-273.0,
97,18.4,73.5,07-04-24,-273.0,
98,18.4,73.5,08-04-24,-273.0,
99,18.4,73.5,09-04-24,-273.0,
100,18.4,73.5,10-04-24,-273.0,
101,18.4,73.5,11-04-24,-273.0,
102,18.4,73.5,12-04-24,-273.0,
103,18.4,73.5,13-04-24,-273.0,
104,18.4,73.5,14-04-24,-273.0,
105,18.4,73.5,15-04-24,-273.0,
106,18.4,73.5,16-04-24,-273.0,
107,18.4,73.5,17-04-24,-273.0,
108,18.4,73.5,18-04-24,-273.0,
109,18.4,73.5,19-04-24,-273.0,
110,18.4,73.5,20-04-24,-273.0,
111,18.4,73.5,21-04-24,-273.0,
112,18.4,73.5,22-04-24,-273.0,
113,18.4,73.5,23-04-24,-273.0,
114,18.4,73.5,24-04-24,-273.0,
115,18.4,73.5,25-04-24,-273.0,
116,18.4,73.5,26-04-24,-273.0,
117,18.4,73.5,27-04-24,-273.0,
118,18.4,73.5,28-04-24,-273.0,
119,18.4,73.5,29-04-24,-273.0,
120,18.4,73.5,30-04-24,-273.0,
121,18.4,73.5,01-05-24,30.81995,0.0
122,18.4,73.5,02-05-24,28.87817,0.0
123,18.4,73.5,03-05-24,28.582,0.0
124,18.4,73.5,04-05-24,28.958,9.54e-08
125,18.4,73.5,05-05-24,29.47345,7.87e-07
126,18.4,73.5,06-05-24,28.89157,0.0
127,18.4,73.5,07-05-24,28.50168,7.15e-08
128,18.4,73.5,08-05-24,28.4897,4.25e-07
