latitude,longitude,valid_time,t2m,number
18.4,73.5,2024-01-01,296.1525,0
18.4,73.5,2024-01-02,296.3392,0
18.4,73.5,2024-01-03,296.38007,0
18.4,73.5,2024-01-04,295.8215,0
18.4,73.5,2024-01-05,295.00024,0
18.4,73.5,2024-01-06,295.55334,0
18.4,73.5,2024-01-07,296.24966,0
18.4,73.5,2024-01-08,297.5028,0
18.4,73.5,2024-01-09,296.80246,0
18.4,73.5,2024-01-10,296.31073,0
18.4,73.5,2024-01-11,297.86728,0
18.4,73.5,2024-01-12,298.00473,0
18.4,73.5,2024-01-13,297.89148,0
18.4,73.5,2024-01-14,297.44077,0
18.4,73.5,2024-01-15,295.70526,0
18.4,73.5,2024-01-16,294.2631,0
18.4,73.5,2024-01-17,294.02234,0
18.4,73.5,2024-01-18,293.27332,0
18.4,73.5,2024-01-19,293.9255,0
18.4,73.5,2024-01-20,294.5394,0
18.4,73.5,2024-01-21,295.2176,0
18.4,73.5,2024-01-22,294.7178,0
18.4,73.5,2024-01-23,293.69547,0
18.4,73.5,2024-01-24,293.56778,0
18.4,73.5,2024-01-25,294.19498,0
18.4,73.5,2024-01-26,295.20837,0
18.4,73.5,2024-01-27,296.3429,0
18.4,73.5,2024-01-28,296.8472,0
18.4,73.5,2024-01-29,296.91806,0
18.4,73.5,2024-01-30,296.42285,0
18.4,73.5,2024-01-31,295.8912,0
18.4,73.5,2024-02-01,291.22772,0
18.4,73.5,2024-02-02,,0
18.4,73.5,2024-02-03,,0
18.4,73.5,2024-02-04,,0
18.4,73.5,2024-02-05,,0
18.4,73.5,2024-02-06,,0
18.4,73.5,2024-02-07,,0
18.4,73.5,2024-02-08,,0
18.4,73.5,2024-02-09,,0
18.4,73.5,2024-02-10,,0
18.4,73.5,2024-02-11,,0
18.4,73.5,2024-02-12,,0
18.4,73.5,2024-02-13,,0
18.4,73.5,2024-02-14,,0
18.4,73.5,2024-02-15,,0
18.4,73.5,2024-02-16,,0
18.4,73.5,2024-02-17,,0
18.4,73.5,2024-02-18,,0
18.4,73.5,2024-02-19,,0
18.4,73.5,2024-02-20,,0
18.4,73.5,2024-02-21,,0
18.4,73.5,2024-02-22,,0
18.4,73.5,2024-02-23,,0
18.4,73.5,2024-02-24,,0
18.4,73.5,2024-02-25,,0
18.4,73.5,2024-02-26,,0
18.4,73.5,2024-02-27,,0
18.4,73.5,2024-02-28,,0
18.4,73.5,2024-02-29,,0
18.4,73.5,2024-03-01,301.19482,0
18.4,73.5,2024-03-02,298.37192,0
18.4,73.5,2024-03-03,297.11478,0
18.4,73.5,2024-03-04,295.77667,0
18.4,73.5,2024-03-05,296.75674,0
18.4,73.5,2024-03-06,297.3003,0
18.4,73.5,2024-03-07,297.54422,0
18.4,73.5,2024-03-08,299.05396,0
18.4,73.5,2024-03-09,299.26913,0
18.4,73.5,2024-03-10,299.24316,0
18.4,73.5,2024-03-11,299.78476,0
18.4,73.5,2024-03-12,300.26657,0
18.4,73.5,2024-03-13,299.34058,0
18.4,73.5,2024-03-14,298.58994,0
18.4,73.5,2024-03-15,297.89737,0
18.4,73.5,2024-03-16,298.79028,0
18.4,73.5,2024-03-17,299.18787,0
18.4,73.5,2024-03-18,299.017,0
18.4,73.5,2024-03-19,299.40457,0
18.4,73.5,2024-03-20,299.71713,0
18.4,73.5,2024-03-21,300.1003,0
18.4,73.5,2024-03-22,300.9561,0
18.4,73.5,2024-03-23,300.48068,0
18.4,73.5,2024-03-24,300.714,0
18.4,73.5,2024-03-25,301.33664,0
18.4,73.5,2024-03-26,301.46536,0
18.4,73.5,2024-03-27,301.35986,0
18.4,73.5,2024-03-28,301.50098,0
18.4,73.5,2024-03-29,301.8083,0
18.4,73.5,2024-03-30,302.02148,0
18.4,73.5,2024-03-31,302.91913,0
18.4,73.5,2024-04-01,298.4263,0
18.4,73.5,2024-04-02,,0
18.4,73.5,2024-04-03,,0
18.4,73.5,2024-04-04,,0
18.4,73.5,2024-04-05,,0
18.4,73.5,2024-04-06,,0
18.4,73.5,2024-04-07,,0
18.4,73.5,2024-04-08,,0
18.4,73.5,2024-04-09,,0
18.4,73.5,2024-04-10,,0
18.4,73.5,2024-04-11,,0
18.4,73.5,2024-04-12,,0
18.4,73.5,2024-04-13,,0
18.4,73.5,2024-04-14,,0
18.4,73.5,2024-04-15,,0
18.4,73.5,2024-04-16,,0
18.4,73.5,2024-04-17,,0
18.4,73.5,2024-04-18,,0
18.4,73.5,2024-04-19,,0
18.4,73.5,2024-04-20,,0
18.4,73.5,2024-04-21,,0
18.4,73.5,2024-04-22,,0
18.4,73.5,2024-04-23,,0
18.4,73.5,2024-04-24,,0
18.4,73.5,2024-04-25,,0
18.4,73.5,2024-04-26,,0
18.4,73.5,2024-04-27,,0
