valid_time,latitude,longitude,stl1
01-05-2024,19.05,72.8,303.6378
01-05-2024,18.8,72.8,303.0579
02-05-2024,19.05,72.8,303.39496
02-05-2024,18.8,72.8,302.96512
03-05-2024,19.05,72.8,303.41757
03-05-2024,18.8,72.8,303.0303
04-05-2024,19.05,72.8,303.75198
04-05-2024,18.8,72.8,303.2907
05-05-2024,19.05,72.8,304.01962
05-05-2024,18.8,72.8,303.42007
06-05-2024,19.05,72.8,304.08078
06-05-2024,18.8,72.8,303.57516
07-05-2024,19.05,72.8,303.95474
07-05-2024,18.8,72.8,303.4847
08-05-2024,19.05,72.8,303.72482
08-05-2024,18.8,72.8,303.20935
09-05-2024,19.05,72.8,303.83505
09-05-2024,18.8,72.8,303.29327
10-05-2024,19.05,72.8,303.88785
10-05-2024,18.8,72.8,303.449
11-05-2024,19.05,72.8,303.8807
11-05-2024,18.8,72.8,303.4635
12-05-2024,19.05,72.8,303.77585
12-05-2024,18.8,72.8,303.38107
13-05-2024,19.05,72.8,303.91238
13-05-2024,18.8,72.8,303.3498
14-05-2024,19.05,72.8,304.04312
14-05-2024,18.8,72.8,303.3997
15-05-2024,19.05,72.8,304.27798
15-05-2024,18.8,72.8,303.60367
16-05-2024,19.05,72.8,304.6135
16-05-2024,18.8,72.8,303.8989
17-05-2024,19.05,72.8,304.46344
17-05-2024,18.8,72.8,303.92917
18-05-2024,19.05,72.8,304.76083
18-05-2024,18.8,72.8,304.10068
19-05-2024,19.05,72.8,304.6912
19-05-2024,18.8,72.8,304.00528
20-05-2024,19.05,72.8,304.58835
20-05-2024,18.8,72.8,303.96176
21-05-2024,19.05,72.8,304.84848
21-05-2024,18.8,72.8,304.11154
22-05-2024,19.05,72.8,304.75568
22-05-2024,18.8,72.8,304.0256
23-05-2024,19.05,72.8,304.62662
23-05-2024,18.8,72.8,303.96103
24-05-2024,19.05,72.8,304.64706
24-05-2024,18.8,72.8,303.98392
25-05-2024,19.05,72.8,304.5562
25-05-2024,18.8,72.8,303.92545
26-05-2024,19.05,72.8,304.6698
26-05-2024,18.8,72.8,304.07523
27-05-2024,19.05,72.8,304.39572
27-05-2024,18.8,72.8,303.85
28-05-2024,19.05,72.8,304.48843
28-05-2024,18.8,72.8,303.96503
29-05-2024,19.05,72.8,304.608
29-05-2024,18.8,72.8,304.08005
30-05-2024,19.05,72.8,304.7274
30-05-2024,18.8,72.8,304.22684
31-05-2024,19.05,72.8,304.6678
31-05-2024,18.8,72.8,304.10077
