valid_time,latitude,longitude,sp
01-05-2024,19.05,72.8,100438.91
01-05-2024,18.8,72.8,100375.41
02-05-2024,19.05,72.8,100484.24
02-05-2024,18.8,72.8,100417.945
03-05-2024,19.05,72.8,100586.96
03-05-2024,18.8,72.8,100516.945
04-05-2024,19.05,72.8,100681.94
04-05-2024,18.8,72.8,100614.77
05-05-2024,19.05,72.8,100505.23
05-05-2024,18.8,72.8,100439.82
06-05-2024,19.05,72.8,100590.77
06-05-2024,18.8,72.8,100524.31
07-05-2024,19.05,72.8,100683.37
07-05-2024,18.8,72.8,100616.77
08-05-2024,19.05,72.8,100652.38
08-05-2024,18.8,72.8,100585.82
09-05-2024,19.05,72.8,100591.805
09-05-2024,18.8,72.8,100521.82
10-05-2024,19.05,72.8,100705.086
10-05-2024,18.8,72.8,100633.97
11-05-2024,19.05,72.8,100764.19
11-05-2024,18.8,72.8,100693.09
12-05-2024,19.05,72.8,100779.53
12-05-2024,18.8,72.8,100705.78
13-05-2024,19.05,72.8,100709.73
13-05-2024,18.8,72.8,100636.41
14-05-2024,19.05,72.8,100638.98
14-05-2024,18.8,72.8,100566.56
15-05-2024,19.05,72.8,100682.21
15-05-2024,18.8,72.8,100614.23
16-05-2024,19.05,72.8,100633.97
16-05-2024,18.8,72.8,100570.01
17-05-2024,19.05,72.8,100567.805
17-05-2024,18.8,72.8,100501.16
18-05-2024,19.05,72.8,100352.414
18-05-2024,18.8,72.8,100287
19-05-2024,19.05,72.8,100178.945
19-05-2024,18.8,72.8,100116.305
20-05-2024,19.05,72.8,100207.98
20-05-2024,18.8,72.8,100150.875
21-05-2024,19.05,72.8,100167.23
21-05-2024,18.8,72.8,100110.9
22-05-2024,19.05,72.8,100139.305
22-05-2024,18.8,72.8,100077.32
23-05-2024,19.05,72.8,100054.96
23-05-2024,18.8,72.8,99993.77
24-05-2024,19.05,72.8,100055.41
24-05-2024,18.8,72.8,99996.29
25-05-2024,19.05,72.8,100172.84
25-05-2024,18.8,72.8,100110.875
26-05-2024,19.05,72.8,100267.305
26-05-2024,18.8,72.8,100205.77
27-05-2024,19.05,72.8,100250.59
27-05-2024,18.8,72.8,100189.94
28-05-2024,19.05,72.8,100273.75
28-05-2024,18.8,72.8,100213.9
29-05-2024,19.05,72.8,100274.73
29-05-2024,18.8,72.8,100212.6
30-05-2024,19.05,72.8,100376.13
30-05-2024,18.8,72.8,100313
31-05-2024,19.05,72.8,100460.85
31-05-2024,18.8,72.8,100393.24
